kbef,kaft
8.57264558705074e6,2.439792081066448e6
794131.107850155,110798.0959224493
423125.6373635211,31065.328495263668
53536.751136831524,8124.204644021333
2.0218008918798082e9,2740.364187374711
247.21890046892494,87.35682250974173
3.942116438202396e17,5.811048549627943e16
8.011439935995421e17,4.704401808352248e16
6.0002171334896075e19,1.0066040707766675e17
42197.315859882605,35591.587191551145
47889.94132686616,12423.70921889105
3.942116438202396e17,5.811048549627943e16
8.011439935995421e17,4.704401808352248e16
6.0002171334896075e19,1.0066040707766675e17
3.2278857640798615e11,15501.463156137752
6248.293075724129,2138.0028754176274
1.6481352172987184e13,4.724394772699696e9
1.7623055924532544e17,6.500332820593523e16
3101.2414510695803,1041.7093057556249
50013.15077042754,10964.864540239507
12047.10026377698,7329.612761525688
2.5348880030146894e14,1.7869100176920898e6
2.598766810383439e7,73623.60809324459
9518.56605874567,13959.230694429485
524225.03310972475,17621.96743151652
2.2118529808811128e8,5.966325037567019e6
28482.046063907463,489.11763451820093
10000.0,1.0
125879.18333084618,169615.07282408865
118248.17518245986,1.0
633195.5390960715,3196.3668899924555
233734.42072490475,1.0
261566.58536027584,1.0
6.917543494090491e9,1.0682622580825834e10
1.1334191280161531e6,19057.611163507645
1740.6146395862681,1339.433138332306
18.07241738016247,5.395218587529645
7.133121119795202e6,1812.3690795348903
2.4275906876368023e7,53902.78394693226
1.6358771426711866e8,1.463218204817833e6
9.076524702461515e6,45416.79333082313
3.383008055543753e6,16820.802586241778
6.404984670595192e6,6710.505422785031
3.5331868601076393e6,55152.3041501849
1.4979402533095062e6,65612.79368249771
1.9796996204875025e6,25970.65209563453
237868.80974081377,197622.71182027698
2.4228204483975816e8,1011.959652967216
688782.1943334071,1010.0349376995503
1.049888878545691e12,16779.107709547585
11.413530553092572,4.8435359342440085
577064.8019227644,362.608524659749
672940.4279029917,177.93266449578562
1.284470559034931e6,413.9524134800189
3.284487462690323e6,429.427047893533
8.0364735432796115e6,896.5330802926944
2.9550663084008754e6,660.1827729686263
3.0128673874796447e6,377.7156050169748
2.2381558750921115e7,1171.9638826211049
2406.4223101684565,2406.422310168466
54.78707813383254,54.78707813383274
4407.920255850686,4407.92025585086
68.21841903296114,68.21841903296115
16495.07800718687,16495.078007183965
177.0822250710407,177.08222507103935
2.3149112479774976e12,5.0409553157418945e10
195177.15170763023,1148.2476525265595
5.896250306620698e6,6.7051886044742735e6
278694.81565882894,44331.155901553924
150577.62491713325,147443.66947277208
6.828094359228051e10,4735.4315297860285
17914.666372518528,32.739602617103856
86120.76036506004,51.657492331045496
4321.047704660807,31.133718537855348
10777.158673221007,5891.018934592759
28350.234955360338,14338.782207904394
52636.16434281713,51697.51520934926
14278.023572507034,7695.5602365061395
257934.16959562205,57201.36394457355
2093.209801814607,1924.5653799320942
2093.209801814607,1924.5653799320942
11490.355664557015,5991.663369564819
3.732772867280143,1.8313204079047185
11490.355664557015,5991.663369564819
3.732772867280143,1.8313204079047185
536868.7441510828,1688.5579430939067
4.021062246015162e10,60638.11832608372
6350.448113746353,3439.511569510767
371440.8800933767,3277.2527096042313
5.1058935354046196e7,1310.962920992916
5.127242376176362e17,9.538417184934438e16
