val-1,perc-1,val-2,perc-2,val-3,perc-3,val-4,perc-4,val-5,perc-5,val-6,perc-6,val-7,perc-7
,,4.0,0.452991452991453,4.384615384615385,0.452991452991453,1.7635135135135136,0.6581196581196581,1.7253521126760563,0.7008547008547008,,,,
,,4.214285714285714,0.45726495726495725,4.571428571428571,0.45726495726495725,1.8070175438596492,0.6623931623931624,1.7322834645669292,0.7051282051282052,,,,
,,4.25,0.46153846153846156,4.608695652173913,0.46153846153846156,1.8333333333333333,0.6666666666666666,1.8433179723502304,0.7094017094017094,,,,
,,4.478260869565218,0.4658119658119658,4.928571428571429,0.4658119658119658,1.8571428571428572,0.6709401709401709,1.8823529411764706,0.7136752136752137,,,,
,,4.571428571428571,0.4700854700854701,5.0,0.4700854700854701,1.8873239436619718,0.6752136752136753,1.9126984126984128,0.717948717948718,,,,
,,4.769230769230769,0.47435897435897434,5.173913043478261,0.47435897435897434,1.8958333333333333,0.6794871794871795,1.9142857142857144,0.7222222222222222,,,,
,,4.837837837837838,0.47863247863247865,5.3,0.47863247863247865,1.9367088607594938,0.6837606837606838,1.963855421686747,0.7264957264957265,,,,
,,4.916666666666667,0.4829059829059829,5.486486486486487,0.4829059829059829,1.9444444444444444,0.688034188034188,1.9904761904761905,0.7307692307692307,,,,
,,5.068965517241379,0.48717948717948717,5.724137931034483,0.48717948717948717,1.9661016949152543,0.6923076923076923,2.0,0.7350427350427351,,,,
,,5.3,0.49572649572649574,6.230769230769231,0.49145299145299143,2.076923076923077,0.6965811965811965,2.0258620689655173,0.7393162393162394,,,,
,,6.428571428571429,0.5,6.428571428571429,0.49572649572649574,2.09,0.7008547008547008,2.0513833992094863,0.7435897435897436,,,,
,,6.909090909090909,0.5042735042735043,6.611111111111111,0.5,2.1206896551724137,0.7051282051282052,2.074324324324324,0.7478632478632479,,,,
,,7.0,0.5085470085470085,7.0,0.5042735042735043,2.1984126984126986,0.7094017094017094,2.0929203539823007,0.7521367521367521,,,,
,,7.1395348837209305,0.5128205128205128,7.204545454545454,0.5085470085470085,2.2666666666666666,0.7136752136752137,2.110526315789474,0.7564102564102564,,,,
,,7.5,0.5170940170940171,7.5,0.5128205128205128,2.4166666666666665,0.717948717948718,2.138888888888889,0.7606837606837606,,,,
,,8.0,0.5213675213675214,7.564102564102564,0.5170940170940171,2.4761904761904763,0.7222222222222222,2.2280701754385963,0.7649572649572649,,,,
,,8.384615384615385,0.5256410256410257,7.674418604651163,0.5213675213675214,2.47926267281106,0.7264957264957265,2.2783505154639174,0.7692307692307693,,,,
,,8.478260869565217,0.5299145299145299,7.773584905660377,0.5256410256410257,2.5486725663716814,0.7307692307692307,2.305084745762712,0.7735042735042735,,,,
,,8.5,0.5341880341880342,8.0,0.5299145299145299,2.5686274509803924,0.7350427350427351,2.466666666666667,0.7777777777777778,,,,
,,8.511111111111111,0.5384615384615384,8.5,0.5341880341880342,2.5762711864406778,0.7393162393162394,2.5365853658536586,0.782051282051282,,,,
,,8.5625,0.5427350427350427,9.0,0.5384615384615384,2.649484536082474,0.7435897435897436,2.561740890688259,0.7863247863247863,,,,
,,8.827586206896552,0.5470085470085471,9.166666666666666,0.5427350427350427,2.6953125,0.7478632478632479,2.6346153846153846,0.7905982905982906,,,,
,,9.320754716981131,0.5512820512820513,9.2,0.5470085470085471,2.857707509881423,0.7521367521367521,2.8195266272189348,0.7948717948717948,,,,
,,9.5,0.5555555555555556,9.208333333333334,0.5512820512820513,2.8674698795180724,0.7564102564102564,2.8977159880834162,0.7991452991452992,,,,
,,9.548387096774194,0.5598290598290598,9.5,0.5555555555555556,2.909090909090909,0.7606837606837606,2.933333333333333,0.8034188034188035,,,,
,,9.583333333333334,0.5641025641025641,9.827586206896552,0.5598290598290598,2.931578947368421,0.7649572649572649,3.088607594936709,0.8076923076923077,,,,
,,12.871621621621621,0.5683760683760684,11.652173913043478,0.5641025641025641,3.1052631578947367,0.7692307692307693,3.238095238095238,0.811965811965812,,,,
,,13.130434782608695,0.5726495726495726,12.274193548387096,0.5683760683760684,3.154109589041096,0.7735042735042735,3.2916666666666665,0.8162393162393162,,,,
,,14.241379310344827,0.5769230769230769,13.925675675675675,0.5726495726495726,3.2457627118644066,0.7777777777777778,3.9671052631578947,0.8205128205128205,,,,
,,15.357142857142858,0.5811965811965812,15.071428571428571,0.5769230769230769,3.2533333333333334,0.782051282051282,4.321167883211679,0.8247863247863247,,,,
,,15.928571428571429,0.5854700854700855,19.115384615384617,0.5811965811965812,3.9940828402366866,0.7863247863247863,5.72,0.8290598290598291,,,,
,,19.257142857142856,0.5897435897435898,19.761904761904763,0.5854700854700855,4.037878787878788,0.7905982905982906,6.166666666666667,0.8333333333333334,,,,
,,19.68831168831169,0.594017094017094,20.82857142857143,0.5897435897435898,4.829268292682927,0.7948717948717948,11.228346456692913,0.8376068376068376,,,,
,,20.033333333333335,0.5982905982905983,21.0,0.594017094017094,5.874875868917577,0.7991452991452992,11.468855218855218,0.8418803418803419,,,,
,,20.076923076923077,0.6025641025641025,23.166666666666668,0.5982905982905983,13.947368421052632,0.8034188034188035,13.114406779661017,0.8461538461538461,,,,
,,21.865384615384617,0.6068376068376068,24.01923076923077,0.6025641025641025,66.86614173228347,0.8076923076923077,38.63157894736842,0.8504273504273504,,,,
,,26.692307692307693,0.6111111111111112,24.25974025974026,0.6068376068376068,126.33333333333333,0.811965811965812,1.0e8,0.8504273504273504,,,,
,,28.458333333333332,0.6153846153846154,30.01923076923077,0.6111111111111112,1.0e8,0.811965811965812,,,,,,
,,29.819444444444443,0.6196581196581197,32.09803921568628,0.6153846153846154,,,,,,,,
,,31.76923076923077,0.6239316239316239,32.166666666666664,0.6196581196581197,,,,,,,,
,,32.292682926829265,0.6282051282051282,34.40277777777778,0.6239316239316239,,,,,,,,
,,32.42156862745098,0.6324786324786325,35.0625,0.6282051282051282,,,,,,,,
,,35.82575757575758,0.6367521367521367,37.4390243902439,0.6324786324786325,,,,,,,,
,,40.79661016949152,0.6410256410256411,41.67424242424242,0.6367521367521367,,,,,,,,
,,49.80555555555556,0.6452991452991453,47.45762711864407,0.6410256410256411,,,,,,,,
,,58.62222222222222,0.6495726495726496,53.25,0.6452991452991453,,,,,,,,
,,74.45714285714286,0.6538461538461539,61.114285714285714,0.6495726495726496,,,,,,,,
