ka,lu-h,hdqhs,hdqhd,hdqss,hdqsd,hdqds,hdqdd,hdqdq
2.439792081066448e6,1.0,4.545767159397547e-17,6.054623371623344e-17,4.03642520406826e-17,4.043125675755708e-17,4.031676688455617e-17,4.0315197682590173e-17,4.0315197682590173e-17
110798.0959224493,6.522353109164093e-16,4.170507820154165e-17,4.6649180014585425e-17,4.137861621243234e-17,4.124049266588638e-17,4.12406503617596e-17,4.124049266588638e-17,4.124049266588638e-17
31065.328495263668,3.1086389791989363e-16,4.250824262167642e-17,4.17456375171146e-17,4.167627674508182e-17,4.1531968093726667e-17,4.167587063460473e-17,4.1531968093726667e-17,4.1531968093726667e-17
8124.204644021333,6.14494912849541e-16,5.846923137185625e-17,5.348514870057561e-17,4.143684177285082e-17,4.143814621155117e-17,4.1435688493405125e-17,4.1435688281240664e-17,4.1435688281240664e-17
2740.364187374711,5.509079179712747e-17,4.23674279695306e-17,4.3425949255452025e-17,4.14176015806221e-17,4.14176015899656e-17,4.14176015806221e-17,4.14176015806221e-17,4.14176015806221e-17
87.35682250974173,9.072318764398898e-17,4.258702400313095e-17,4.5653889666439635e-17,4.2329927197049805e-17,4.2351177816121843e-17,4.234409963193109e-17,4.1881537122240005e-17,4.1881537122240005e-17
5.811048549627943e16,0.10067920130148399,0.10063183500173586,0.10068181365171142,0.10068215648636981,0.10068215489196987,0.1006821564826648,0.10068215489211454,0.10068215489211454
4.704401808352248e16,0.08659365341894903,0.08660150626211958,0.08660150626211958,0.08660125920256473,0.08660126006452398,0.08660125938772843,0.08660126023627679,0.08660126023627679
1.0066040707766675e17,0.04721848571784838,0.047214062276070806,0.047214062276070806,0.04721406200278535,0.047214062276070806,0.04720567235388303,0.047214062276070806,0.047214062276070806
35591.587191551145,1.0,5.299358544056567e-17,6.266191323658311e-17,4.1986516706895545e-17,4.208337677671531e-17,4.198655561373658e-17,4.198669053180185e-17,4.198669053180185e-17
12423.70921889105,3.6611633716074015e-16,5.105708924910693e-17,4.878064030652424e-17,4.0782654576558186e-17,4.0780058973635086e-17,4.078237986124101e-17,4.0780058885233355e-17,4.0780058885233355e-17
5.811048549627943e16,0.07900761980197656,0.07842569178373177,0.07843556761089802,0.07902055209097274,0.07902055093504863,0.07902055208999224,0.0790205509352933,0.0790205509352933
4.704401808352248e16,0.0646913757968197,0.06462952204373207,0.06466189358002244,0.06458268860095427,0.06458267632889426,0.06458269722710933,0.0645826778931792,0.0645826778931794
1.0066040707766675e17,0.08876827214529052,0.08877579659172179,0.08877579642100192,0.08878894465997841,0.08878894515212388,0.08878894317650814,0.08878894515212385,0.08878894515212389
15501.463156137752,4.207471356761653e-17,4.2823215749339867e-17,4.847666716388782e-17,4.142703823118224e-17,4.142703823118224e-17,4.1427229819831295e-17,4.142703823118224e-17,4.142703823118224e-17
2138.0028754176274,1.17961399178475e-16,4.265476454785918e-17,3.978836514786359e-17,3.955118414419347e-17,3.955113017680849e-17,3.955117895277104e-17,3.955113017680849e-17,3.955113017680849e-17
4.724394772699696e9,1.0,1.0,1.0,1.0,0.26201850861495546,1.0,4.2191512738544315e-17,4.2141075365089964e-17
6.500332820593523e16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1041.7093057556249,6.750284066524421e-17,4.297896194950881e-17,4.285614812900932e-17,4.188841986229675e-17,4.188815207353005e-17,4.1888651749096657e-17,4.188815207353005e-17,4.188815207353005e-17
10964.864540239507,0.6369943515336733,4.244446556062169e-17,4.4752141931700465e-17,4.191487573852291e-17,4.177590500098886e-17,4.1973750124494463e-17,4.1774637900999195e-17,4.1774637900999195e-17
7329.612761525688,5.643730515860346e-16,4.360284346433372e-17,4.32479725388111e-17,4.147049222143353e-17,4.1460516384468434e-17,4.146946493859211e-17,4.1460516384468434e-17,4.1460516384468434e-17
1.7869100176920898e6,5.153923202560113e-16,4.1572586016152396e-17,4.223244427842288e-17,4.0508005864720364e-17,4.04604510108404e-17,4.0499084047588073e-17,4.046044150490907e-17,4.046044150490907e-17
73623.60809324459,1.0321043007068816e-16,4.522068108427227e-17,5.362614343931944e-17,4.02682640729979e-17,4.0268263423637104e-17,4.02682640729979e-17,4.0268263423637104e-17,4.0268263423637104e-17
13959.230694429485,4.615907048209087e-16,4.418800246983106e-17,4.313276631279035e-17,4.197205018295424e-17,4.178108461644537e-17,4.180220244145137e-17,4.178108461644537e-17,4.178108461644537e-17
17621.96743151652,9.768417790622601e-16,4.507828987325311e-17,4.191525151659069e-17,4.207658761380082e-17,4.1319113889816386e-17,4.1415186152695925e-17,4.131483658251521e-17,4.131483658251521e-17
5.966325037567019e6,1.0,0.8761917165323296,0.27293536586470846,6.450696876746726e-17,4.1723919155965596e-17,4.992242293318857e-17,4.166910586281589e-17,4.166910586281589e-17
489.11763451820093,1.3040882904731317e-16,4.014762152900461e-17,4.070972248871577e-17,4.008589915182287e-17,4.0085823597382176e-17,4.008585535235017e-17,4.0085823597382176e-17,4.0085823597382176e-17
1.0,4.171552856592986e-17,4.212161470701905e-17,4.212161470701905e-17,4.165246277182405e-17,4.1647143423511566e-17,4.164611116305543e-17,4.164397451525491e-17,4.164397451525491e-17
169615.07282408865,0.21131712786779977,4.4256257669711886e-17,4.303543336238735e-17,4.0846104603599897e-17,4.0953911790099384e-17,4.08475134335223e-17,4.081087713916295e-17,4.081087713916295e-17
1.0,4.137441233412633e-17,4.245410163817448e-17,4.245410163817448e-17,4.127877548464455e-17,4.127858913916299e-17,4.1278670273035805e-17,4.127837528049413e-17,4.127837528049413e-17
3196.3668899924555,4.2022680364553003e-16,4.2867989247441117e-17,4.6649986245619634e-17,4.232601320871881e-17,4.196635936734585e-17,4.2018686087809975e-17,4.196635936734585e-17,4.196635936734585e-17
1.0,4.204132826363388e-17,9.670547261830482e-17,9.670547261830482e-17,4.204410662864702e-17,4.204410662864702e-17,4.190923235269955e-17,4.190927409338992e-17,4.190927409338992e-17
1.0,4.097377403635745e-17,4.716998068283867e-17,4.716998068283867e-17,4.0905033092888187e-17,4.089741690543422e-17,4.0891733371513695e-17,4.0891733371513695e-17,4.0891733371513695e-17
1.0682622580825834e10,1.0,0.3888754220001056,0.36471417619689284,0.08151134813156877,1.8136185517861417e-16,0.3681654490292148,4.1355573246159425e-17,4.135062105087474e-17
19057.611163507645,4.616338119119697e-16,4.844486122767562e-17,4.2883146608241175e-17,4.0904104771584194e-17,4.09021729690675e-17,4.09021729690675e-17,4.09021729690675e-17,4.09021729690675e-17
1339.433138332306,8.217708626965367e-17,4.235625785230287e-17,4.279227140063933e-17,4.184634164127725e-17,4.1811864610185615e-17,4.181346930596091e-17,4.1811864610185615e-17,4.1811864610185615e-17
5.395218587529645,4.088644996575332e-17,4.6939450746437216e-17,4.1911099782056084e-17,4.0852367808280266e-17,4.0852367808280266e-17,4.0852367808280266e-17,4.0852367808280266e-17,4.0852367808280266e-17
1812.3690795348903,4.2134302800675846e-17,4.892344505403194e-17,4.892344505403194e-17,3.995815526184979e-17,3.995815526184979e-17,3.995815526184979e-17,3.995815526184979e-17,3.995815526184979e-17
53902.78394693226,1.5842431728629897e-16,4.2037019807030073e-17,4.240666114156957e-17,4.124430718770354e-17,4.1239452442279404e-17,4.124106013061791e-17,4.1239452442279404e-17,4.1239452442279404e-17
1.463218204817833e6,1.0,4.385855479054235e-17,4.240594918949063e-17,4.156318164808136e-17,4.117366885625085e-17,4.128003473020488e-17,4.117366885625085e-17,4.117366885625085e-17
45416.79333082313,5.668890873176737e-17,4.1734344888414635e-17,4.301440933859476e-17,4.133960357424054e-17,4.1290662826291926e-17,4.1345547223659273e-17,4.1290662826291926e-17,4.1290662826291926e-17
16820.802586241778,7.606431481917191e-17,6.262613724895828e-17,4.363140327782496e-17,4.0611736487866736e-17,4.061173586935669e-17,4.0611736487866736e-17,4.061173586935669e-17,4.061173586935669e-17
6710.505422785031,4.303399143963669e-17,4.102435833135879e-17,4.3398341248512396e-17,4.097886629747593e-17,4.097886629747593e-17,4.097886629747593e-17,4.097886629747593e-17,4.097886629747593e-17
55152.3041501849,4.640838397415629e-17,4.1280189937288645e-17,4.3005531696601126e-17,4.107639488870699e-17,4.1075024291151564e-17,4.107506207167689e-17,4.1074861850258186e-17,4.1074861850258186e-17
65612.79368249771,1.5636719386246985e-16,4.4393999019576587e-17,4.26266312609702e-17,4.118915783485915e-17,4.1188247763607755e-17,4.118906490001215e-17,4.1188247763607755e-17,4.1188247763607755e-17
25970.65209563453,1.4383818381659763e-16,4.1712528725023214e-17,4.1787975003711946e-17,4.0708502245860883e-17,4.070790223773089e-17,4.0709728022191135e-17,4.070790223773089e-17,4.070790223773089e-17
197622.71182027698,1.0,6.550154175073276e-17,6.467770494251265e-17,4.10002964889917e-17,4.0808679162243254e-17,4.0975837241453254e-17,4.08080091301243e-17,4.08080091301243e-17
1011.959652967216,1.2626743969773983e-16,4.190221301484693e-17,6.052099005788394e-17,4.153924411157977e-17,4.1539960667621976e-17,4.153303420966798e-17,4.153295489919452e-17,4.153295489919452e-17
1010.0349376995503,4.879558153117913e-17,4.4830859819595324e-17,4.27339750322338e-17,4.197132653182027e-17,4.1969325220136744e-17,4.1971276453808796e-17,4.1969325220136744e-17,4.1969325220136744e-17
16779.107709547585,5.156274736914193e-17,4.1982491755145615e-17,4.409658665682297e-17,4.168658907702466e-17,4.168658894900488e-17,4.168658926643626e-17,4.1686588879386837e-17,4.1686588879386837e-17
