kA16-kM4-a,kA16-kM4-b,kA16-kM8-a,kA16-kM8-b,kA16-kM12-a,kA16-kM12-b,kA16-kM16-a,kA16-kM16-b,kA4-kM4-a,kA4-kM4-b,kA8-kM4-a,kA8-kM4-b,kA12-kM4-a,kA12-kM4-b
1.2507041611055243e-5,0.775522363341165,,,,,,,,,,,0.01785773716142506,0.768068027885969
0.019365473263072263,0.6213692479202715,,,,,,,,,,,2.498063633066739e-7,0.7476946905858463
0.7326131697394364,0.869493005168569,,,,,,,,,,,0.00015485535092916726,0.63806626116249
1.7121934433662312e-7,0.8049891452926162,,,,,,,,,,,0.04708855284074119,0.695189357384825
0.5117890092360515,0.7437334356222773,,,,,,,,,,,2.0910684563458667e-7,0.8131267827635162
0.00043887557973672773,0.6915424166543765,,,,,,,,,,,0.008852264128574427,0.7979921734561679
0.004110359970036733,0.8225417183196618,,,,,,,,,,,0.09711339433102532,0.8090204642787231
0.42243590284022414,0.8377451825604094,,,,,,,,,,,,
1.1631808527320162e-6,0.7642253738114053,,,,,,,,,,,,
0.41336572712019926,0.7184850727697778,,,,,,,,,,,,
4.074093772075048e-5,0.6579993819913845,,,,,,,,,,,,
6.319124752513945e-6,0.6883094070534992,,,,,,,,,,,,
4.1282613388008506e-5,0.7578800421516045,,,,,,,,,,,,
9.902513099856467e-5,0.7280466605632875,,,,,,,,,,,,
